VoyageToMoonResult [timestamp=2014-09-11T17:12:00.000Z, speed=10837.0, surface=199163.78176832292, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8283080,99, e= 1,234, omega=129,294, i=169,210, OMEGA=162,368, Tp=2014-09-16T11:06:42.227Z, period=67634,099), trueAnomaly=6.2829062570773395}, velocity=2378.746600739245, minTimestamp=2014-09-16T11:06:42.000Z, duration=4 d 17 h 54 m 42 s, distance=1936163.781768323]
VoyageToMoonResult [timestamp=2014-09-11T17:13:00.000Z, speed=10837.0, surface=196354.1738145759, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282913,20, e= 1,233, omega=129,335, i=169,199, OMEGA=162,399, Tp=2014-09-16T11:06:27.984Z, period=67632,044), trueAnomaly=1.9239315034618824E-5}, velocity=2380.296179297678, minTimestamp=2014-09-16T11:06:28.000Z, duration=4 d 17 h 53 m 28 s, distance=1933354.173814576]
VoyageToMoonResult [timestamp=2014-09-11T17:14:00.000Z, speed=10837.0, surface=193538.58185555227, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282744,58, e= 1,233, omega=129,376, i=169,188, OMEGA=162,429, Tp=2014-09-16T11:06:13.740Z, period=67629,979), trueAnomaly=3.1995038101124393E-4}, velocity=2381.852567148852, minTimestamp=2014-09-16T11:06:14.000Z, duration=4 d 17 h 52 m 14 s, distance=1930538.5818555523]
VoyageToMoonResult [timestamp=2014-09-11T17:15:00.000Z, speed=10837.0, surface=190717.02246701298, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282575,12, e= 1,233, omega=129,417, i=169,177, OMEGA=162,460, Tp=2014-09-16T11:05:59.496Z, period=67627,904), trueAnomaly=6.230770200876926E-4}, velocity=2383.415790423413, minTimestamp=2014-09-16T11:06:00.000Z, duration=4 d 17 h 51 m, distance=1927717.022467013]
VoyageToMoonResult [timestamp=2014-09-11T17:16:00.000Z, speed=10837.0, surface=187889.133836217, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282457,29, e= 1,232, omega=129,458, i=169,166, OMEGA=162,491, Tp=2014-09-16T11:05:45.251Z, period=67626,460), trueAnomaly=6.282874289628936}, velocity=2384.9852990081754, minTimestamp=2014-09-16T11:05:45.000Z, duration=4 d 17 h 49 m 45 s, distance=1924889.133836217]
VoyageToMoonResult [timestamp=2014-09-11T17:17:00.000Z, speed=10837.0, surface=185055.28656818927, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282286,40, e= 1,232, omega=129,500, i=169,154, OMEGA=162,522, Tp=2014-09-16T11:05:31.004Z, period=67624,367), trueAnomaly=6.283179581700466}, velocity=2386.5624935744977, minTimestamp=2014-09-16T11:05:31.000Z, duration=4 d 17 h 48 m 31 s, distance=1922055.2865681893]
VoyageToMoonResult [timestamp=2014-09-11T17:18:00.000Z, speed=10837.0, surface=182215.5180134375, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282114,67, e= 1,232, omega=129,541, i=169,143, OMEGA=162,553, Tp=2014-09-16T11:05:16.757Z, period=67622,264), trueAnomaly=3.019481664092512E-4}, velocity=2388.1466061356905, minTimestamp=2014-09-16T11:05:17.000Z, duration=4 d 17 h 47 m 17 s, distance=1919215.5180134375]
VoyageToMoonResult [timestamp=2014-09-11T17:19:00.000Z, speed=10837.0, surface=179369.84449734655, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281942,10, e= 1,231, omega=129,583, i=169,132, OMEGA=162,584, Tp=2014-09-16T11:05:02.509Z, period=67620,151), trueAnomaly=6.119970390014374E-4}, velocity=2389.7376637784637, minTimestamp=2014-09-16T11:05:03.000Z, duration=4 d 17 h 46 m 3 s, distance=1916369.8444973466]
VoyageToMoonResult [timestamp=2014-09-11T17:20:00.000Z, speed=10837.0, surface=176517.92409758642, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281822,15, e= 1,231, omega=129,624, i=169,121, OMEGA=162,615, Tp=2014-09-16T11:04:48.260Z, period=67618,682), trueAnomaly=6.2828594058878275}, velocity=2391.3350953078034, minTimestamp=2014-09-16T11:04:48.000Z, duration=4 d 17 h 44 m 48 s, distance=1913517.9240975864]
VoyageToMoonResult [timestamp=2014-09-11T17:21:00.000Z, speed=10837.0, surface=173660.07911885018, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281648,16, e= 1,231, omega=129,666, i=169,109, OMEGA=162,646, Tp=2014-09-16T11:04:34.011Z, period=67616,551), trueAnomaly=6.2831714755062995}, velocity=2392.9403527769314, minTimestamp=2014-09-16T11:04:34.000Z, duration=4 d 17 h 43 m 34 s, distance=1910660.0791188502]
VoyageToMoonResult [timestamp=2014-09-11T17:22:00.000Z, speed=10837.0, surface=170796.37601437652, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281473,33, e= 1,230, omega=129,708, i=169,098, OMEGA=162,677, Tp=2014-09-16T11:04:19.760Z, period=67614,410), trueAnomaly=3.0057710010873695E-4}, velocity=2394.552640066016, minTimestamp=2014-09-16T11:04:20.000Z, duration=4 d 17 h 42 m 20 s, distance=1907796.3760143765]
VoyageToMoonResult [timestamp=2014-09-11T17:23:00.000Z, speed=10837.0, surface=167926.8317745889, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281297,66, e= 1,230, omega=129,750, i=169,086, OMEGA=162,708, Tp=2014-09-16T11:04:05.509Z, period=67612,258), trueAnomaly=6.17317887056419E-4}, velocity=2396.171984726532, minTimestamp=2014-09-16T11:04:06.000Z, duration=4 d 17 h 41 m 6 s, distance=1904926.831774589]
VoyageToMoonResult [timestamp=2014-09-11T17:24:00.000Z, speed=10837.0, surface=165051.10247836006, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281175,62, e= 1,230, omega=129,792, i=169,075, OMEGA=162,740, Tp=2014-09-16T11:03:51.257Z, period=67610,764), trueAnomaly=6.28286043976776}, velocity=2397.797806297462, minTimestamp=2014-09-16T11:03:51.000Z, duration=4 d 17 h 39 m 51 s, distance=1902051.10247836]
VoyageToMoonResult [timestamp=2014-09-11T17:25:00.000Z, speed=10837.0, surface=162169.50484573073, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280998,53, e= 1,229, omega=129,834, i=169,063, OMEGA=162,771, Tp=2014-09-16T11:03:37.004Z, period=67608,595), trueAnomaly=6.283179049791829}, velocity=2399.4315854149904, minTimestamp=2014-09-16T11:03:37.000Z, duration=4 d 17 h 38 m 37 s, distance=1899169.5048457307]
VoyageToMoonResult [timestamp=2014-09-11T17:26:00.000Z, speed=10837.0, surface=159282.11350977374, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280820,61, e= 1,229, omega=129,877, i=169,052, OMEGA=162,802, Tp=2014-09-16T11:03:22.751Z, period=67606,416), trueAnomaly=3.146464304987728E-4}, velocity=2401.0725089261655, minTimestamp=2014-09-16T11:03:23.000Z, duration=4 d 17 h 37 m 23 s, distance=1896282.1135097737]
VoyageToMoonResult [timestamp=2014-09-11T17:27:00.000Z, speed=10837.0, surface=156388.94540785253, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280641,84, e= 1,229, omega=129,919, i=169,040, OMEGA=162,833, Tp=2014-09-16T11:03:08.497Z, period=67604,227), trueAnomaly=6.3783638041657E-4}, velocity=2402.720605274769, minTimestamp=2014-09-16T11:03:09.000Z, duration=4 d 17 h 36 m 9 s, distance=1893388.9454078525]
VoyageToMoonResult [timestamp=2014-09-11T17:28:00.000Z, speed=10837.0, surface=153489.6356118496, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280517,75, e= 1,228, omega=129,962, i=169,028, OMEGA=162,865, Tp=2014-09-16T11:02:54.243Z, period=67602,707), trueAnomaly=6.2828761684955605}, velocity=2404.37529524633, minTimestamp=2014-09-16T11:02:54.000Z, duration=4 d 17 h 34 m 54 s, distance=1890489.6356118496]
VoyageToMoonResult [timestamp=2014-09-11T17:29:00.000Z, speed=10837.0, surface=150584.53438390023, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280337,57, e= 1,228, omega=130,004, i=169,017, OMEGA=162,896, Tp=2014-09-16T11:02:39.987Z, period=67600,501), trueAnomaly=1.576139992635262E-5}, velocity=2406.0380666557935, minTimestamp=2014-09-16T11:02:40.000Z, duration=4 d 17 h 33 m 40 s, distance=1887584.5343839002]
VoyageToMoonResult [timestamp=2014-09-11T17:30:00.000Z, speed=10837.0, surface=147673.7044995064, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280156,55, e= 1,228, omega=130,047, i=169,005, OMEGA=162,927, Tp=2014-09-16T11:02:25.731Z, period=67598,284), trueAnomaly=3.429070120849261E-4}, velocity=2407.708100232461, minTimestamp=2014-09-16T11:02:26.000Z, duration=4 d 17 h 32 m 26 s, distance=1884673.7044995064]
VoyageToMoonResult [timestamp=2014-09-11T17:31:00.000Z, speed=10837.0, surface=144757.16321503907, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279974,69, e= 1,227, omega=130,090, i=168,993, OMEGA=162,959, Tp=2014-09-16T11:02:11.474Z, period=67596,057), trueAnomaly=6.722897454848159E-4}, velocity=2409.3854251289195, minTimestamp=2014-09-16T11:02:12.000Z, duration=4 d 17 h 31 m 12 s, distance=1881757.163215039]
VoyageToMoonResult [timestamp=2014-09-11T17:32:00.000Z, speed=10837.0, surface=141834.5065216585, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279848,59, e= 1,227, omega=130,133, i=168,981, OMEGA=162,990, Tp=2014-09-16T11:01:57.218Z, period=67594,513), trueAnomaly=6.282905308909747}, velocity=2411.0694736409164, minTimestamp=2014-09-16T11:01:57.000Z, duration=4 d 17 h 29 m 57 s, distance=1878834.5065216585]
VoyageToMoonResult [timestamp=2014-09-11T17:33:00.000Z, speed=10837.0, surface=138906.1543940641, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279665,32, e= 1,227, omega=130,176, i=168,969, OMEGA=163,022, Tp=2014-09-16T11:01:42.960Z, period=67592,269), trueAnomaly=5.0927575905457894E-5}, velocity=2412.7617204600438, minTimestamp=2014-09-16T11:01:43.000Z, duration=4 d 17 h 28 m 43 s, distance=1875906.154394064]
VoyageToMoonResult [timestamp=2014-09-11T17:34:00.000Z, speed=10837.0, surface=135972.1396990656, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279481,22, e= 1,226, omega=130,219, i=168,957, OMEGA=163,053, Tp=2014-09-16T11:01:28.702Z, period=67590,014), trueAnomaly=3.840473392789466E-4}, velocity=2414.4613502818675, minTimestamp=2014-09-16T11:01:29.000Z, duration=4 d 17 h 27 m 29 s, distance=1872972.1396990656]
VoyageToMoonResult [timestamp=2014-09-11T17:35:00.000Z, speed=10837.0, surface=133032.4483036946, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279353,71, e= 1,226, omega=130,262, i=168,945, OMEGA=163,085, Tp=2014-09-16T11:01:14.443Z, period=67588,453), trueAnomaly=6.282611989860598}, velocity=2416.167560872741, minTimestamp=2014-09-16T11:01:14.000Z, duration=4 d 17 h 26 m 14 s, distance=1870032.4483036946]
VoyageToMoonResult [timestamp=2014-09-11T17:36:00.000Z, speed=10837.0, surface=130086.71515269368, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279168,20, e= 1,226, omega=130,305, i=168,932, OMEGA=163,116, Tp=2014-09-16T11:01:00.184Z, period=67586,181), trueAnomaly=6.28294651324596}, velocity=2417.8823023695436, minTimestamp=2014-09-16T11:01:00.000Z, duration=4 d 17 h 25 m, distance=1867086.7151526937]
VoyageToMoonResult [timestamp=2014-09-11T17:37:00.000Z, speed=10837.0, surface=127135.36860060738, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8278981,85, e= 1,225, omega=130,349, i=168,920, OMEGA=163,148, Tp=2014-09-16T11:00:45.924Z, period=67583,899), trueAnomaly=9.787825437149357E-5}, velocity=2419.6045204988154, minTimestamp=2014-09-16T11:00:46.000Z, duration=4 d 17 h 23 m 46 s, distance=1864135.3686006074]
