VoyageToMoonResult [timestamp=2014-09-11T17:12:00.000Z, speed=10837.0, surface=199163.78176832292, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8283080.99, e= 1.234, omega=129.294, i=169.210, OMEGA=162.368, Tp=2014-09-16T11:06:42.227Z, period=67634.099), trueAnomaly=6.2829062570773395}, velocity=2378.746600739245, minTimestamp=2014-09-16T11:06:42.000Z, duration=4 d 17 h 54 m 42 s, distance=1936163.781768323]
VoyageToMoonResult [timestamp=2014-09-11T17:15:00.000Z, speed=10837.0, surface=190717.02246701298, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282575.12, e= 1.233, omega=129.417, i=169.177, OMEGA=162.460, Tp=2014-09-16T11:05:59.496Z, period=67627.904), trueAnomaly=6.230770200876926E-4}, velocity=2383.415790423413, minTimestamp=2014-09-16T11:06:00.000Z, duration=4 d 17 h 51 m, distance=1927717.022467013]
VoyageToMoonResult [timestamp=2014-09-11T17:18:00.000Z, speed=10837.0, surface=182215.5180134375, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8282114.67, e= 1.232, omega=129.541, i=169.143, OMEGA=162.553, Tp=2014-09-16T11:05:16.757Z, period=67622.264), trueAnomaly=3.019481664092512E-4}, velocity=2388.1466061356905, minTimestamp=2014-09-16T11:05:17.000Z, duration=4 d 17 h 47 m 17 s, distance=1919215.5180134375]
VoyageToMoonResult [timestamp=2014-09-11T17:21:00.000Z, speed=10837.0, surface=173660.07911885018, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281648.16, e= 1.231, omega=129.666, i=169.109, OMEGA=162.646, Tp=2014-09-16T11:04:34.011Z, period=67616.551), trueAnomaly=6.2831714755062995}, velocity=2392.9403527769314, minTimestamp=2014-09-16T11:04:34.000Z, duration=4 d 17 h 43 m 34 s, distance=1910660.0791188502]
VoyageToMoonResult [timestamp=2014-09-11T17:24:00.000Z, speed=10837.0, surface=165051.10247836006, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8281175.62, e= 1.230, omega=129.792, i=169.075, OMEGA=162.740, Tp=2014-09-16T11:03:51.257Z, period=67610.764), trueAnomaly=6.28286043976776}, velocity=2397.797806297462, minTimestamp=2014-09-16T11:03:51.000Z, duration=4 d 17 h 39 m 51 s, distance=1902051.10247836]
VoyageToMoonResult [timestamp=2014-09-11T17:27:00.000Z, speed=10837.0, surface=156388.94540785253, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280641.84, e= 1.229, omega=129.919, i=169.040, OMEGA=162.833, Tp=2014-09-16T11:03:08.497Z, period=67604.227), trueAnomaly=6.3783638041657E-4}, velocity=2402.720605274769, minTimestamp=2014-09-16T11:03:09.000Z, duration=4 d 17 h 36 m 9 s, distance=1893388.9454078525]
VoyageToMoonResult [timestamp=2014-09-11T17:30:00.000Z, speed=10837.0, surface=147673.7044995064, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8280156.55, e= 1.228, omega=130.047, i=169.005, OMEGA=162.927, Tp=2014-09-16T11:02:25.731Z, period=67598.284), trueAnomaly=3.429070120849261E-4}, velocity=2407.708100232461, minTimestamp=2014-09-16T11:02:26.000Z, duration=4 d 17 h 32 m 26 s, distance=1884673.7044995064]
VoyageToMoonResult [timestamp=2014-09-11T17:33:00.000Z, speed=10837.0, surface=138906.1543940641, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279665.32, e= 1.227, omega=130.176, i=168.969, OMEGA=163.022, Tp=2014-09-16T11:01:42.960Z, period=67592.269), trueAnomaly=5.0927575905457894E-5}, velocity=2412.7617204600438, minTimestamp=2014-09-16T11:01:43.000Z, duration=4 d 17 h 28 m 43 s, distance=1875906.154394064]
VoyageToMoonResult [timestamp=2014-09-11T17:36:00.000Z, speed=10837.0, surface=130086.71515269368, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8279168.20, e= 1.226, omega=130.305, i=168.932, OMEGA=163.116, Tp=2014-09-16T11:01:00.184Z, period=67586.181), trueAnomaly=6.28294651324596}, velocity=2417.8823023695436, minTimestamp=2014-09-16T11:01:00.000Z, duration=4 d 17 h 25 m, distance=1867086.7151526937]
VoyageToMoonResult [timestamp=2014-09-11T17:39:00.000Z, speed=10837.0, surface=121215.8125897171, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8278665.23, e= 1.224, omega=130.436, i=168.895, OMEGA=163.211, Tp=2014-09-16T11:00:17.404Z, period=67580.022), trueAnomaly=6.28265833278759}, velocity=2423.0706984031067, minTimestamp=2014-09-16T11:00:17.000Z, duration=4 d 17 h 21 m 17 s, distance=1858215.812589717]
VoyageToMoonResult [timestamp=2014-09-11T17:42:00.000Z, speed=10837.0, surface=112293.58761742152, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8278096.95, e= 1.223, omega=130.567, i=168.858, OMEGA=163.306, Tp=2014-09-16T10:59:34.619Z, period=67573.064), trueAnomaly=4.993844841985443E-4}, velocity=2428.3288257247204, minTimestamp=2014-09-16T10:59:35.000Z, duration=4 d 17 h 17 m 35 s, distance=1849293.5876174215]
